########## MODALITY COMPARISON TABLES ##########

===== runs/base_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.1640789192994084,0.18439502427272036,-0.02031610497331196
phase_rmse_rad,0.25058216121752697,0.28326369866765094,-0.032681537450123976
phase_psnr_db,30.782150056652586,29.824627592693698,0.9575224639588882
phase_ssim,0.6202021043385024,0.5787156730626537,0.04148643127584872
phase_pearson_r,0.863959473846233,0.7939484614983976,0.07001101234783536
phase_mae_rad_in_cell,0.2980463287207933,0.37511770400853284,-0.07707137528773955
phase_bias_rad_in_cell,-0.22450171117629625,-0.22379682223782338,-0.0007048889384728696
phase_mae_rad_background,0.14521471305494815,0.15754184509273125,-0.0123271320377831
seg_dice,0.8277200335984284,0.7609578690829716,0.0667621645154568
seg_iou,0.7060770953368728,0.6141501165257218,0.09192697881115097
seg_aji,0.6633062935980507,0.5645504029701505,0.09875589062790024
seg_boundary_f1,0.438191219747222,0.2923044184651385,0.14588680128208353
cls_accuracy,0.6371681415929203,0.7876106194690266,-0.1504424778761062
cls_macro_f1,0.612055821330485,0.7846334609860122,-0.1725776396555272
area_mape,0.15373735855628717,0.17157572597977783,-0.017838367423490653
area_cell_pearson_r,0.8930328171836067,0.860350162344836,0.03268265483877075
area_image_pearson_r,0.824521237230406,0.7811447920592234,0.043376445171182665
area_relative_bias,0.04946170468385565,0.06414718516092156,-0.014685480477065915
optical_volume_mape,0.18761643943527534,0.23260534738075014,-0.044988907945474804
dry_mass_mape,0.18761643943527534,0.23260534738075014,-0.044988907945474804
dry_mass_cell_pearson_r,0.9196250914338983,0.8720715705271862,0.047553520906712055
dry_mass_image_pearson_r,0.9435537498766983,0.9058146252328971,0.037739124643801136
dry_mass_relative_bias,-0.05776683922637548,0.0031959556237489174,-0.0609627948501244
dry_mass_loa_lower,-0.25475468720995315,-0.27659635548763295,0.021841668277679804
dry_mass_loa_upper,0.13922100875720217,0.2829882667351308,-0.1437672579779286
cells_reference,3045,3045,0.0
cells_detected,2158,2166,-8.0
cells_matched,1863,1699,164.0
detection_recall,0.6118226600985222,0.5579638752052545,0.053858784893267675
detection_precision,0.8632993512511585,0.7843951985226223,0.07890415272853624
detection_f1,0.7161253123198156,0.6520821339474189,0.0640431783723967

===== runs/classification_only_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.48112959777359415,0.4748138547998614,0.006315742973732774
phase_rmse_rad,0.6843785175990414,0.6699231998429814,0.014455317756060015
phase_psnr_db,21.73426670293955,21.911863161971908,-0.1775964590323582
phase_ssim,0.17052907107678134,0.17363376493475077,-0.003104693857969437
phase_pearson_r,-0.010444795776058639,0.08255934809845568,-0.09300414387451432
phase_mae_rad_in_cell,1.399516425829018,1.3234317524243244,0.0760846734046936
phase_bias_rad_in_cell,-1.3992018298765199,-1.3221597381397687,-0.07704209173675114
phase_mae_rad_background,0.3424803279669939,0.3461090131143553,-0.0036286851473614212
seg_dice,0.20041393739609772,0.1421512089066659,0.058262728489431814
seg_iou,0.11136668679580122,0.07651387431966994,0.034852812476131284
seg_aji,0.026915599977028574,0.015799488990139818,0.011116110986888757
seg_boundary_f1,0.06253132357632711,0.05530367071914712,0.007227652857179988
cls_accuracy,0.5929203539823009,0.7610619469026548,-0.1681415929203539
cls_macro_f1,0.5228820473052513,0.762445700258138,-0.23956365295288662
area_mape,0.29320619785458885,0.4468580294802172,-0.15365183162562834
area_cell_pearson_r,nan,nan,nan
area_image_pearson_r,nan,nan,nan
area_relative_bias,-0.3435754189944135,-0.5754245754245754,0.23184915643016185
optical_volume_mape,1.58183353660338,1.6102306800985935,-0.028397143495213495
dry_mass_mape,1.58183353660338,1.6102306800985937,-0.028397143495213717
dry_mass_cell_pearson_r,nan,nan,nan
dry_mass_image_pearson_r,nan,nan,nan
dry_mass_relative_bias,-7.5655686195143375,-8.262480384581876,0.6969117650675383
dry_mass_loa_lower,-7.5655686195143375,-8.262480384581876,0.6969117650675383
dry_mass_loa_upper,-7.5655686195143375,-8.262480384581876,0.6969117650675383
cells_reference,3045,3045,0.0
cells_detected,11504,3713,7791.0
cells_matched,1,1,0.0
detection_recall,0.0003284072249589491,0.0003284072249589491,0.0
detection_precision,8.692628650904033e-05,0.00026932399676811203,-0.0001823977102590717
detection_f1,0.00013746649254244277,0.00029594554601953236,-0.0001584790534770896

===== runs/no_measurement_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.16353516966368245,0.18405529210525276,-0.02052012244157031
phase_rmse_rad,0.25141594558273817,0.2828139539917281,-0.03139800840898993
phase_psnr_db,30.858986296356104,29.828268364387437,1.0307179319686668
phase_ssim,0.624586946668878,0.5795326974012155,0.04505424926766255
phase_pearson_r,0.86369202938755,0.7937843394527558,0.06990768993479413
phase_mae_rad_in_cell,0.29287065684267904,0.3795247809813086,-0.08665412413862955
phase_bias_rad_in_cell,-0.20358656674821293,-0.2439826426953407,0.04039607594712777
phase_mae_rad_background,0.1450503943240748,0.15643864368970414,-0.01138824936562935
seg_dice,0.8285953349381875,0.7603511424645799,0.06824419247360758
seg_iou,0.707351916593626,0.61336009616163,0.09399182043199594
seg_aji,0.6643256759802627,0.5644164209565427,0.09990925502372006
seg_boundary_f1,0.4363118251412385,0.2938835364078637,0.14242828873337482
cls_accuracy,0.6194690265486725,0.8230088495575221,-0.20353982300884954
cls_macro_f1,0.5667066252333542,0.8233805542067614,-0.25667392897340713
area_mape,0.16049233744975847,0.1762605806804921,-0.015768243230733642
