########## MODALITY COMPARISON TABLES ##########

===== runs/base_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.16340518610931076,0.18444049635292153,-0.021035310243610772
phase_rmse_rad,0.24969968079061736,0.2832132128728108,-0.03351353208219346
phase_psnr_db,30.83506511445749,29.832417760291865,1.0026473541656244
phase_ssim,0.6202585355634183,0.579182313343065,0.04107622222035323
phase_pearson_r,0.8640903150085855,0.7940058037267783,0.07008451128180715
phase_mae_rad_in_cell,0.28970547165490884,0.3747358949838486,-0.08503042332893979
phase_bias_rad_in_cell,-0.2071444337973289,-0.23109637181052065,0.02395193801319176
phase_mae_rad_background,0.1453202199355691,0.1577324229663452,-0.012412203030776114
seg_dice,0.8276340426021015,0.7602307784784252,0.06740326412367625
seg_iou,0.7059519575602998,0.6132034618066985,0.09274849575360133
seg_aji,0.6601827340784093,0.5583596854139194,0.10182304866448988
seg_boundary_f1,0.4326884144240436,0.29165027677070493,0.14103813765333867
cls_accuracy,0.5929203539823009,0.7964601769911505,-0.20353982300884954
cls_macro_f1,0.5629099976186228,0.7948905281735767,-0.23198053055495393
area_mape,0.16282705908866235,0.1773311758790107,-0.014504116790348354
area_cell_pearson_r,0.8852831033195007,0.8531056483065008,0.032177455012999845
area_image_pearson_r,0.8282657522966013,0.8093436647892219,0.018922087507379337
area_relative_bias,0.059455890987254734,0.05693987437900754,0.0025160166082471916
optical_volume_mape,0.1886881987606301,0.23659098332921483,-0.04790278456858474
dry_mass_mape,0.1886881987606301,0.23659098332921483,-0.04790278456858474
dry_mass_cell_pearson_r,0.9192001798161648,0.8656274892271361,0.05357269058902869
dry_mass_image_pearson_r,0.9504192272357502,0.8928388620691446,0.057580365166605585
dry_mass_relative_bias,-0.042919040675550496,-0.0058525886343156076,-0.03706645204123489
dry_mass_loa_lower,-0.23709995022909822,-0.30144396965963216,0.06434401943053394
dry_mass_loa_upper,0.15126186887799722,0.289738792391001,-0.13847692351300375
cells_reference,3045,3045,0.0
cells_detected,2158,2178,-20.0
cells_matched,1852,1691,161.0
detection_recall,0.6082101806239737,0.5553366174055829,0.05287356321839076
detection_precision,0.8582020389249305,0.7764003673094583,0.08180167161547225
detection_f1,0.7118969825100903,0.6475205820409726,0.06437640046911763

===== runs/base_s1337_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.16334648766612583,0.18470843736313086,-0.021361949697005028
phase_rmse_rad,0.2506394448641156,0.2838968368105799,-0.03325739194646432
phase_psnr_db,30.886154037393993,29.802310857184175,1.0838431802098185
phase_ssim,0.622065253226103,0.5781862311131132,0.043879022112989774
phase_pearson_r,0.8631277767430364,0.7932848369381267,0.06984293980490974
phase_mae_rad_in_cell,0.28585126297136326,0.37720322964993197,-0.09135196667856871
phase_bias_rad_in_cell,-0.2001607422181199,-0.23332244806420221,0.0331617058460823
phase_mae_rad_background,0.1455921427865999,0.1574632698851349,-0.011871127098534995
seg_dice,0.8280182920390962,0.758778502926901,0.0692397891121952
seg_iou,0.7065112760844541,0.6113159534508243,0.09519532263362973
seg_aji,0.661750778533341,0.5653625318538867,0.09638824667945423
seg_boundary_f1,0.4364718162716814,0.29161531819049163,0.14485649808118978
cls_accuracy,0.584070796460177,0.8053097345132744,-0.22123893805309736
cls_macro_f1,0.5734630796404417,0.8069565156332438,-0.23349343599280203
area_mape,0.1542548649906951,0.17083213266683378,-0.01657726767613868
area_cell_pearson_r,0.8854636053713291,0.8470946363737275,0.03836896899760156
area_image_pearson_r,0.809058259164009,0.7713663624996752,0.03769189666433381
area_relative_bias,0.05012012615126975,0.028163951816217447,0.0219561743350523
optical_volume_mape,0.18032474585034064,0.22890703338117818,-0.04858228753083754
dry_mass_mape,0.18032474585034064,0.22890703338117818,-0.04858228753083754
dry_mass_cell_pearson_r,0.9209137916307728,0.8754366091413995,0.04547718248937327
dry_mass_image_pearson_r,0.9513968338385707,0.9059753582978971,0.04542147554067355
dry_mass_relative_bias,-0.039044546831786146,-0.023152580322201945,-0.0158919665095842
dry_mass_loa_lower,-0.2304235370221456,-0.29691689967893503,0.06649336265678943
dry_mass_loa_upper,0.1523344433585733,0.2506117390345311,-0.0982772956759578
cells_reference,3045,3045,0.0
cells_detected,2172,2142,30.0
cells_matched,1855,1714,141.0
detection_recall,0.6091954022988506,0.5628899835796387,0.0463054187192119
detection_precision,0.8540515653775322,0.800186741363212,0.053864824014320245
detection_f1,0.7111366685834771,0.6608829766724504,0.05025369191102669

===== runs/base_s2024_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.1623068823751095,0.18495968017166695,-0.022652797796557433
phase_rmse_rad,0.24808756549913108,0.28485503530017975,-0.03676746980104867
phase_psnr_db,30.917602019662304,29.79680065370734,1.1208013659549643
phase_ssim,0.6203570376455256,0.5784927850539705,0.04186425259155513
phase_pearson_r,0.8637273902386691,0.7932182533781876,0.07050913686048144
phase_mae_rad_in_cell,0.2828872457014776,0.376573165301728,-0.09368591960025041
phase_bias_rad_in_cell,-0.17691191958378902,-0.23109044169232382,0.0541785221085348
phase_mae_rad_background,0.14475759619896392,0.1578508778351598,-0.013093281636195886
seg_dice,0.8282450599476339,0.7590998666848388,0.06914519326279511
seg_iou,0.7068415345538201,0.6117332461370961,0.09510828841672403
seg_aji,0.6668479023370163,0.5656228039856162,0.10122509835140014
seg_boundary_f1,0.4430553349485638,0.28862957314275867,0.15442576180580514
cls_accuracy,0.7522123893805309,0.8053097345132744,-0.053097345132743445
cls_macro_f1,0.7370486380762532,0.8041227967985407,-0.0670741587222875
area_mape,0.15644078087198282,0.17097982347122836,-0.014539042599245544
area_cell_pearson_r,0.8887183340581574,0.854971981675148,0.03374635238300938
area_image_pearson_r,0.8075151641255636,0.7989888759255875,0.008526288199976029
area_relative_bias,0.05021309047583542,0.04570377411008193,0.004509316365753489
optical_volume_mape,0.18150481569615912,0.23164012572778717,-0.05013531003162805
dry_mass_mape,0.18150481569615912,0.2316401257277871,-0.050135310031627994
dry_mass_cell_pearson_r,0.9263070026642476,0.8719114513829215,0.054395551281326116
dry_mass_image_pearson_r,0.9553604471366177,0.9093671737456864,0.04599327339093129
dry_mass_relative_bias,-0.011223815920907067,-0.011088745570923748,-0.0001350703499833194
dry_mass_loa_lower,-0.19944967311784453,-0.284114528735571,0.08466485561772649
dry_mass_loa_upper,0.1770020412760304,0.2619370375937235,-0.0849349963176931
cells_reference,3045,3045,0.0
cells_detected,2138,2137,1.0
cells_matched,1861,1706,155.0
detection_recall,0.6111658456486043,0.5602627257799672,0.05090311986863716
detection_precision,0.8704396632366698,0.798315395414132,0.07212426782253778
detection_f1,0.718116920702296,0.6584330374372829,0.05968388326501317

===== runs/classification_only_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.48112959566369523,0.474813856646023,0.0063157390176722394
phase_rmse_rad,0.6843785168283061,0.6699231995477192,0.01445531728058691
phase_psnr_db,21.734266701821575,21.91186317180848,-0.1775964699869057
phase_ssim,0.17052907153832175,0.17363376533035682,-0.003104693792035068
phase_pearson_r,-0.01044479547111231,0.08255934850127329,-0.0930041439723856
phase_mae_rad_in_cell,1.3995164289938664,1.3234317508419002,0.07608467815196618
phase_bias_rad_in_cell,-1.3992018288215704,-1.322159737084819,-0.07704209173675136
phase_mae_rad_background,0.3424803266483071,0.3461090125868806,-0.003628685938573517
seg_dice,0.20041393739609772,0.1421512089066659,0.058262728489431814
seg_iou,0.11136668679580122,0.07651387431966994,0.034852812476131284
seg_aji,0.026915599977028574,0.015799488990139818,0.011116110986888757
seg_boundary_f1,0.06253132357632711,0.05530367071914712,0.007227652857179988
cls_accuracy,0.5929203539823009,0.7610619469026548,-0.1681415929203539
cls_macro_f1,0.5228820473052513,0.762445700258138,-0.23956365295288662
area_mape,0.29320619785458885,0.4468580294802172,-0.15365183162562834
area_cell_pearson_r,nan,nan,nan
area_image_pearson_r,nan,nan,nan
area_relative_bias,-0.3435754189944135,-0.5754245754245754,0.23184915643016185
optical_volume_mape,1.58183353660338,1.6102306800985935,-0.028397143495213495
dry_mass_mape,1.58183353660338,1.6102306800985937,-0.028397143495213717
dry_mass_cell_pearson_r,nan,nan,nan
dry_mass_image_pearson_r,nan,nan,nan
dry_mass_relative_bias,-7.5655686195143375,-8.262480384581876,0.6969117650675383
dry_mass_loa_lower,-7.5655686195143375,-8.262480384581876,0.6969117650675383
dry_mass_loa_upper,-7.5655686195143375,-8.262480384581876,0.6969117650675383
cells_reference,3045,3045,0.0
cells_detected,11504,3713,7791.0
cells_matched,1,1,0.0
detection_recall,0.0003284072249589491,0.0003284072249589491,0.0
detection_precision,8.692628650904033e-05,0.00026932399676811203,-0.0001823977102590717
detection_f1,0.00013746649254244277,0.00029594554601953236,-0.0001584790534770896

===== runs/fixed_threshold_modality_comparison.csv =====
metric,off_axis,gabor,difference
phase_mae_rad,0.16489824573550604,0.18362588633214477,-0.01872764059663873
phase_rmse_rad,0.2509437097324517,0.2814545069865562,-0.030510797254104494
phase_psnr_db,30.8201409973936,29.86469228731605,0.9554487100775511
phase_ssim,0.6148226436524264,0.5778690610839202,0.03695358256850623
phase_pearson_r,0.8620729699599005,0.7950392502815405,0.06703371967835992
phase_mae_rad_in_cell,0.28340515744897116,0.3764355183966392,-0.09303036094766803
phase_bias_rad_in_cell,-0.1858060698610096,-0.2307997031447187,0.04499363328370912
phase_mae_rad_background,0.14771750186924384,0.15791257859858793,-0.010195076729344082
seg_dice,0.8421423731288201,0.7735399262547933,0.06860244687402683
seg_iou,0.7273280873094036,0.6307094236607772,0.09661866364862637
seg_aji,0.6901380610548419,0.5845379068691121,0.10560015418572977
seg_boundary_f1,0.4954079114155265,0.3148250036880249,0.18058290772750157
cls_accuracy,0.5221238938053098,0.8495575221238938,-0.327433628318584
cls_macro_f1,0.5090919509017127,0.8523948748500491,-0.3433029239483364
area_mape,0.13693172377371254,0.16838049574360558,-0.03144877196989304
area_cell_pearson_r,0.9232039584629894,0.878609741068458,0.0445942173945314
area_image_pearson_r,0.9270751747713718,0.914148423154569,0.01292675161680279
area_relative_bias,0.04793070118154328,0.05884861310897384,-0.010917911927430558
